abbrev,Date Time,DISCHRG Value,DISCHRG Units,DISCHRG Review Status,DISCHRG Observation Flag,DISCHRG Modified
COLCAMCO,05/21/2001 00:00,9000,cfs,,,09/25/2018 15:15
COLCAMCO,05/22/2001 00:00,7850,cfs,,,09/25/2018 15:15
COLCAMCO,05/23/2001 00:00,6830,cfs,,,09/25/2018 15:15
COLCAMCO,05/24/2001 00:00,6970,cfs,,,09/25/2018 15:15
COLCAMCO,05/25/2001 00:00,7910,cfs,,,09/25/2018 15:15
COLCAMCO,05/26/2001 00:00,8510,cfs,,,09/25/2018 15:15
COLCAMCO,05/27/2001 00:00,8710,cfs,,,09/25/2018 15:15
COLCAMCO,05/28/2001 00:00,8930,cfs,,,09/25/2018 15:15
COLCAMCO,05/29/2001 00:00,9140,cfs,,,09/25/2018 15:15
COLCAMCO,05/30/2001 00:00,8550,cfs,,,09/25/2018 15:15
COLCAMCO,05/31/2001 00:00,8460,cfs,,,09/25/2018 15:15
COLCAMCO,06/01/2001 00:00,8530,cfs,,,09/25/2018 15:15
COLCAMCO,06/02/2001 00:00,8850,cfs,,,09/25/2018 15:15
COLCAMCO,06/03/2001 00:00,9150,cfs,,,09/25/2018 15:15
COLCAMCO,06/04/2001 00:00,8520,cfs,,,09/25/2018 15:15
COLCAMCO,06/05/2001 00:00,7280,cfs,,,09/25/2018 15:15
COLCAMCO,06/06/2001 00:00,6150,cfs,,,09/25/2018 15:15
COLCAMCO,06/07/2001 00:00,6120,cfs,,,09/25/2018 15:15
COLCAMCO,06/08/2001 00:00,6590,cfs,,,09/25/2018 15:15
COLCAMCO,06/09/2001 00:00,6700,cfs,,,09/25/2018 15:15
COLCAMCO,06/10/2001 00:00,6770,cfs,,,09/25/2018 15:15
COLCAMCO,06/11/2001 00:00,6570,cfs,,,09/25/2018 15:15
COLCAMCO,06/12/2001 00:00,6300,cfs,,,09/25/2018 15:15
COLCAMCO,06/13/2001 00:00,5690,cfs,,,09/25/2018 15:15
COLCAMCO,06/14/2001 00:00,5300,cfs,,,09/25/2018 15:15
COLCAMCO,06/15/2001 00:00,4540,cfs,,,09/25/2018 15:15
COLCAMCO,06/16/2001 00:00,4090,cfs,,,09/25/2018 15:15
COLCAMCO,06/17/2001 00:00,3900,cfs,,,09/25/2018 15:15
COLCAMCO,06/18/2001 00:00,3850,cfs,,,09/25/2018 15:15
COLCAMCO,06/19/2001 00:00,3910,cfs,,,09/25/2018 15:15
COLCAMCO,06/20/2001 00:00,3920,cfs,,,09/25/2018 15:15
COLCAMCO,06/21/2001 00:00,3900,cfs,,,09/25/2018 15:15
COLCAMCO,06/22/2001 00:00,3910,cfs,,,09/25/2018 15:15
COLCAMCO,06/23/2001 00:00,,cfs,,,
COLCAMCO,06/24/2001 00:00,3730,cfs,,,09/25/2018 15:15
COLCAMCO,06/25/2001 00:00,3750,cfs,,,09/25/2018 15:15
COLCAMCO,06/26/2001 00:00,3930,cfs,,,09/25/2018 15:15
COLCAMCO,06/27/2001 00:00,4170,cfs,,,09/25/2018 15:15
COLCAMCO,06/28/2001 00:00,4280,cfs,,,09/25/2018 15:15
COLCAMCO,06/29/2001 00:00,3850,cfs,,,09/25/2018 15:15
COLCAMCO,06/30/2001 00:00,3680,cfs,,,09/25/2018 15:15
COLCAMCO,07/01/2001 00:00,3540,cfs,,,09/25/2018 15:15
COLCAMCO,07/02/2001 00:00,3450,cfs,,,09/25/2018 15:15
COLCAMCO,07/03/2001 00:00,3350,cfs,,,09/25/2018 15:15
COLCAMCO,07/04/2001 00:00,3240,cfs,,,09/25/2018 15:15
COLCAMCO,07/05/2001 00:00,3170,cfs,,,09/25/2018 15:15
COLCAMCO,07/06/2001 00:00,3120,cfs,,,09/25/2018 15:15
COLCAMCO,07/07/2001 00:00,3130,cfs,,,09/25/2018 15:15
COLCAMCO,07/08/2001 00:00,3110,cfs,,,09/25/2018 15:15
COLCAMCO,07/09/2001 00:00,3160,cfs,,,09/25/2018 15:15
COLCAMCO,07/10/2001 00:00,3270,cfs,,,09/25/2018 15:15
COLCAMCO,07/11/2001 00:00,3330,cfs,,,09/25/2018 15:15
COLCAMCO,07/12/2001 00:00,3140,cfs,,,09/25/2018 15:15
