,   DAY,  ELEV. (FT),  STORAGE (AC-FT), RESERVOIR EVAP. (CFS),RIVER GAGE BELOW DAM (CFS),ROCKY FORK CREEK (CFS),TOTAL RESERVOIR RELEASE (CFS), COMPUTED INFLOW (CFS),CALLED OUT? (Y= YES) (N= NO) ,EVAP ACCOUNTED AGAINST FILL ,MIN FLOW BELOW RUEDI GAGE (CFS),REQUIRED TO MEET THE  MIN FLOW (CFS),BOUSTEAD TUNNEL DIVERSIONS (CFS),BOUSTEAD TUNNEL DIVERSIONS (AC-FT),BOUSTEAD REPLACEMENT RELEASE (CFS),BOUSTEAD REPLACEMENT RELEASE (AC-FT),REGULAR CONTRACT RELEASE (CFS),REGULAR CONTRACT RELEASE (AC-FT),CONTRACT REL FOR WOLFORD EXCH (CFS),ADDL CONT REL FOR WOLFORD EXCH (AC-FT),TOTAL CONTRACT RELEASE (CFS),TOTAL CONTRACT RELEASE (AC-FT),ENDANGERED FISH RELEASE (CFS),CUMULATIVE FISH RELEASE (AC-FT),REMAINING AMT AVAIL TO FISH (AC-FT),TOTAL REQUIRED RELEASE (CFS),DISCRE- TIONARY RELEASE (CFS),RELEASE THROUGH PP (CFS),POWER PLANT BYPASS (CFS),FLOWS IN FRYINGPAN >250 CFS (CFS),DAILY OWED TO RIVER ACCOUNT (CFS),OWED TO RIVER ACCOUNT (CFS),OWED TO RIVER ACCOUNT (AC-FT), STORABLE INFLOW (AC-FT),CUMULATIVE STORABLE  INFLOW (AC-FT),DAILY FIRST FILL (AC-FT),CUMULATIVE FIRST FILL (AC-FT),DAILY REFILL RIGHT (AC-FT),CUMULATIVE REFILL RIGHT (AC-FT), PALISADE GAGE (CFS),   ,Other   (CFS),& Wolford  Exchange (CFS),ADDL CONT REL FOR WOLFORD EXCH and CO Water Trust (AC-FT),TOTAL TUNNEL DIVERSIONS (CFS),FRYINGPAN TUNNEL DIVERSIONS (CFS),BOUSTEAD FRYINGPAN DIVERSIONS (AC-FT),ADDITIONAL CONTRACT RELEASE (CFS),ADDL CONT REL FOR VARIOUS (AC-FT)
2005-04-23,SAT,7724.5595104,66220.6328,0,84.5251,7.7352,76.78989999999999,167.54644146711033,N,0,39,31.2648,8.3982,127.13401930000002,0,0,0,0,0,0,0,0,0,0,20825,31.2648,45.52509999999999,76.78989999999999,0,0,0,2.1316282072803006e-14,4.228084549140476e-14,270.3146358500133,68103.17668955003,270.3146358500133,68103.17668955003,0,0,2295.6902,,,,,,,,,
2005-04-24,SUN,7725,66551,0,85.3592,8.1177,77.2415,243.79920103352322,N,0,39,30.8823,11.599,150.1406358,0,0,0,0,0,0,0,0,0,0,20825,30.8823,46.3592,77.2415,0,0,0,2.1316282072803006e-14,4.228084549140476e-14,422.32067319999334,68525.49736275003,422.32067319999334,68525.49736275003,0,0,2432.864,,,,,,,,,
2005-04-25,MON,7725.378963178808,66837.1172,0,84.9374,8.6065,76.3309,220.57955137383078,N,0,39,30.3935,9.2202,168.42890250000002,0,0,0,0,0,0,0,0,0,0,20825,30.3935,45.9374,76.3309,0,0,0,2.1316282072803006e-14,4.228084549140476e-14,377.2340328999934,68902.73139565003,377.2340328999934,68902.73139565003,0,0,3212.7705,,,,,,,,,
2005-04-26,TUE,7725.669101854304,67056.1719,0,84.6793,8.78,75.8993,186.33776735568836,N,0,39,30.22,7.4532,183.2123247,0,0,0,0,0,0,0,0,0,0,20825,30.22,45.6793,75.8993,0,0,0,2.1316282072803006e-14,4.228084549140476e-14,309.65959155000786,69212.39098720004,309.65959155000786,69212.39098720004,0,0,3227.7449,,,,,,,,,
2005-04-27,WED,7725.909944105961,67238.0078,0,85.5174,8.8597,76.65769999999999,168.33196266700554,N,0,39,30.1403,8.4607,199.99412315,0,0,0,0,0,0,0,0,0,0,20825,30.1403,46.517399999999995,76.65769999999999,0,0,0,2.1316282072803006e-14,4.228084549140476e-14,274.1031629000055,69486.49415010004,274.1031629000055,69486.49415010004,0,0,2988.0496,,,,,,,,,
2005-04-28,THU,7726.179543963254,67442.8125,0,85.5134,9.0917,76.4217,179.67589712628853,N,0,39,29.9083,7.5132,214.89655535,0,0,0,0,0,0,0,0,0,0,20825,29.9083,46.513400000000004,76.4217,0,0,0,2.1316282072803006e-14,4.228084549140476e-14,297.06402889999333,69783.55817900004,297.06402889999333,69783.55817900004,0,0,2972.6614,,,,,,,,,
2005-04-29,FRI,7726.3986835958,67609.7969,0,84.7838,8.9518,75.832,160.01874061003338,N,0,39,30.0482,3.7193,222.2737869,0,0,0,0,0,0,0,0,0,0,20825,30.0482,45.78379999999999,75.832,0,0,0,2.1316282072803006e-14,4.228084549140476e-14,257.7965673000012,70041.35474630004,257.7965673000012,70041.35474630004,0,0,3072.6851,,,,,,,,,
2005-04-30,SAT,7726.5987019685035,67762.2109,0,83.8828,8.7039,75.1789,152.01983773632685,N,0,39,30.2961,3.7193,229.65101845,0,0,0,0,0,0,0,0,0,0,20825,30.2961,44.8828,75.1789,0,0,0,2.1316282072803006e-14,4.228084549140476e-14,241.43903380000432,70282.79378010005,241.43903380000432,70282.79378010005,0,0,2983.5164,,,,,,,,,
2005-05-01,SUN,7726.778502362205,67899.2188,0,83.619,8.2576,75.3614,144.4352089236183,N,0,110,101.7424,3.8657,237.3186344,0,0,0,0,0,0,0,0,0,0,20825,101.7424,0,75.3614,0,0,26.381,26.38100000000002,52.32671350000005,84.68118649999687,70367.47496660004,84.68118649999687,70367.47496660004,0,0,2608.7568,,,,,,,,,
2005-05-02,MON,7726.8787832021,67975.6328,0,99.4725,7.9176,91.5549,130.0797298462336,N,0,110,102.0824,5.1153,247.46483195000002,0,0,0,0,0,0,0,0,0,0,20825,102.0824,0,91.5549,0,0,10.527500000000003,36.908500000000025,73.20800975000004,55.532703750004316,70423.00767035005,55.532703750004316,70423.00767035005,0,0,2378.9763,,,,,,,,,
2005-05-03,TUE,7726.938976377953,68021.5,0,117.1636,7.4997,109.6639,132.78827610284512,N,0,110,102.5003,5.8911,259.1498288,0,0,0,0,0,0,0,0,0,0,20825,102.5003,7.163600000000002,109.66,0.003900000000001569,0,0,36.908500000000025,73.20800975000004,60.0762005999933,70483.08387095005,60.0762005999933,70483.08387095005,0,0,2119.6775,,,,,,,,,
2005-05-04,WED,7727.039123598435,68098.0078,0,108.1877,7.3,100.88770000000001,139.4598199899202,N,0,110,102.7,5.8089,270.67178195,0,0,0,0,0,0,0,0,0,0,20825,102.7,0,100.89,-0.002299999999991087,0,1.8122999999999934,38.72080000000002,76.80270680000004,72.9131029500067,70555.99697390007,72.9131029500067,70555.99697390007,0,0,2018.4548,,,,,,,,,
2005-05-05,THU,7727.188661147327,68212.7031,0,107.973,6.9609,101.0121,158.83680380639885,N,0,110,103.0391,6.2888,283.14561675000004,0,0,0,0,0,0,0,0,0,0,20825,103.0391,0,101.0121,0,0,2.027000000000001,40.74780000000002,80.82326130000004,110.67474549999211,70666.67171940005,110.67474549999211,70666.67171940005,0,0,2078.594,,,,,,,,,
2005-05-06,FRI,7727.388649022164,68366.0938,0,109.0458,6.8,102.2458,179.57915013864562,N,0,110,103.2,6.2888,295.61945155000006,0,0,0,0,0,0,0,0,0,0,20825,103.2,0,102.2458,0,0,0.9542000000000002,41.70200000000002,82.71591700000005,151.49804430000358,70818.16976370006,151.49804430000358,70818.16976370006,0,0,2305.7708,,,,,,,,,
2005-05-07,SAT,7727.708808735332,68611.6563,0,107.9905,7.1323,100.8582,224.66082162843458,N,0,110,102.8677,6.2888,308.0932863500001,0,0,0,0,0,0,0,0,0,0,20825,102.8677,0,100.8582,0,0,2.0095000000000027,43.71150000000002,86.70176025000005,241.57665674999998,71059.74642045006,241.57665674999998,71059.74642045006,0,0,2877.8303,,,,,,,,,
2005-05-08,SUN,7727.979760886571,68819.4766,0,107.5445,7.4714,100.0731,204.84763995462168,N,0,110,102.5286,6.2888,320.5671211500001,0,0,0,0,0,0,0,0,0,0,20825,102.5286,0,100.0731,0,0,2.4555000000000007,46.16700000000002,91.57224450000005,202.94981574999213,71262.69623620005,202.94981574999213,71262.69623620005,0,0,3541.4878,,,,,,,,,
